,Athlete_ID_x,Fight_Result,Wins_x,Losses_x,Takedowns_Ratio_x,Fighting_Category_x,Age_x,Streak_Athlete_ID_x,Significant_Strikes_Ratio_x,Athlete_ID_y,Wins_y,Losses_y,Fighting_Category_y,Age_y,Streak_Athlete_ID_y,Takedowns_Ratio_y,Significant_Strikes_Ratio_y,Fight_Style_Matchup,Age_diff,Height_diff,Weight_diff,Reach_diff,Significant_Strikes_Ratio_diff,Takedowns_Ratio_diff,Streak_Athlete_ID_diff
12238,shavkat-rakhmonov,1,19,0,0.07407407407407407,Grappling,29.0,1,0.6009852216748769,stephen-thompson,17,8,Striking,40.0,1,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-11.0,1.0,0.0,2.0,0.14072032101262522,-0.3425925925925926,0
6425,joaquin-buckley,1,21,6,0.16666666666666666,Striking,29.0,2,0.37258153676064126,stephen-thompson,17,8,Striking,40.0,2,0.4166666666666667,0.4602649006622517,Striking vs Striking,-11.0,-2.0,0.0,1.0,-0.08768336390161041,-0.25,0
11337,robbie-lawler,0,30,16,0.0,Grappling,18.0,-1,0.0,steve-berger,15,6,Grappling,27.0,-1,0.0,0.0,Grappling vs Grappling,-9.0,0.0,1.5,74.0,0.0,0.0,0
5756,james-te-huna,0,18,9,0.0,Grappling,32.0,-3,0.0,steve-bosse,12,2,Striking,32.0,-1,0.3333333333333333,0.5297297297297298,Grappling vs Striking,0.0,2.5,0.0,3.0,-0.5297297297297298,-0.3333333333333333,-2
12008,sean-oconnell,0,17,9,0.0,Striking,30.0,-1,0.48717948717948717,steve-bosse,12,2,Striking,32.0,-2,0.3333333333333333,0.5297297297297298,Striking vs Striking,-2.0,1.5,0.5999999999999943,2.0,-0.04255024255024259,-0.3333333333333333,1
6711,johnny-rees,0,10,2,0.0,Grappling,23.0,-2,0.0,steve-bruno,13,5,Grappling,24.0,-1,0.0,0.0,Grappling vs Grappling,-1.0,2.0,-2.0,0.0,0.0,0.0,-1
9091,matthew-riddle,1,7,3,0.0,Grappling,21.0,1,0.0,steve-bruno,13,5,Grappling,25.0,1,0.0,0.0,Grappling vs Grappling,-4.0,3.0,-1.0,0.0,0.0,0.0,0
11035,razak-al-hassan,0,7,2,0.0,Grappling,24.0,-1,0.0,steve-cantwell,7,6,Grappling,19.0,-1,0.0,0.0,Grappling vs Grappling,5.0,0.0,20.0,-75.0,0.0,0.0,0
8255,luiz-cane,0,0,0,0.0,Grappling,-16.0,-1,0.0,steve-cantwell,7,6,Grappling,20.0,-2,0.0,0.0,Grappling vs Grappling,-36.0,110.0,-185.0,2.0,0.0,0.0,1
1723,brian-stann,1,12,6,0.0,Grappling,26.0,2,0.0,steve-cantwell,7,6,Grappling,20.0,1,0.0,0.0,Grappling vs Grappling,6.0,-1.0,21.0,-75.0,0.0,0.0,1
2901,cyrille-diabate,1,20,10,0.0,Grappling,35.0,2,0.0,steve-cantwell,7,6,Grappling,22.0,2,0.0,0.0,Grappling vs Grappling,13.0,4.0,20.0,6.0,0.0,0.0,0
9562,mike-massenzio,1,13,7,0.0,Grappling,-14.0,1,0.0,steve-cantwell,7,6,Grappling,22.0,3,0.0,0.0,Grappling vs Grappling,-36.0,110.0,-185.0,-75.0,0.0,0.0,-2
11251,riki-fukuda,1,19,7,0.0,Grappling,29.0,1,0.0,steve-cantwell,7,6,Grappling,23.0,4,0.0,0.0,Grappling vs Grappling,6.0,-2.0,1.0,-75.0,0.0,0.0,-3
3368,david-dvorak,0,20,6,0.0,Striking,29.0,-3,0.4304,steve-erceg,12,3,Striking,27.0,-1,0.15789473684210525,0.48788927335640137,Striking vs Striking,2.0,-3.0,0.0,0.5,-0.05748927335640136,-0.15789473684210525,-2
269,alessandro-costa,0,14,4,0.0,Grappling,27.0,-1,0.47689075630252103,steve-erceg,12,3,Striking,28.0,-2,0.15789473684210525,0.48788927335640137,Grappling vs Striking,-1.0,-4.0,14.5,-1.0,-0.01099851705388033,-0.15789473684210525,1
9040,matt-schnell,0,16,9,0.1,Grappling,33.0,-1,0.39475908706677937,steve-erceg,12,3,Striking,28.0,-3,0.15789473684210525,0.48788927335640137,Grappling vs Striking,5.0,0.0,9.5,2.0,-0.093130186289622,-0.05789473684210525,2
536,alexandre-pantoja,1,29,5,0.038461538461538464,Striking,33.0,5,0.5008412787436904,steve-erceg,12,3,Striking,28.0,1,0.15789473684210525,0.48788927335640137,Striking vs Striking,5.0,-3.0,-1.0,-1.0,0.012952005387289078,-0.11943319838056679,4
7359,kai-kara-france,1,25,11,0.0,Striking,30.0,2,0.39600470035252644,steve-erceg,12,3,Striking,28.0,2,0.15789473684210525,0.48788927335640137,Striking vs Striking,2.0,-4.0,-0.5,1.0,-0.09188457300387493,-0.15789473684210525,0
2205,charlie-ontiveros,0,11,9,0.0,Striking,27.0,-2,0.41333333333333333,steve-garcia,17,5,Striking,28.0,-1,0.4,0.5667396061269147,Striking vs Striking,-1.0,2.0,9.5,-1.0,-0.15340627279358132,-0.4,-1
2226,chase-hooper,0,15,3,0.02127659574468085,Grappling,22.0,-1,0.5205882352941177,steve-garcia,17,5,Striking,29.0,-2,0.4,0.5667396061269147,Grappling vs Striking,-7.0,1.0,10.0,-1.0,-0.04615137083279697,-0.3787234042553192,1
5167,hayisaer-maheshate,1,10,4,0.0,Striking,21.0,1,0.2932745314222712,steve-garcia,17,5,Striking,29.0,1,0.4,0.5667396061269147,Striking vs Striking,-8.0,0.0,10.0,-3.5,-0.27346507470464343,-0.4,0
12251,shayilan-nuerdanbieke,0,39,12,0.15,Grappling,28.0,-1,0.45925925925925926,steve-garcia,17,5,Striking,30.0,-1,0.4,0.5667396061269147,Grappling vs Striking,-2.0,-4.0,0.5,-6.0,-0.1074803468676554,-0.25,0
